,userId,movieId,rating,timestamp,title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
15347762,99476,104374,3.5,1467897440,About Time (2013),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
16647840,107979,2634,4.0,994007728,"Mummy, The (1959)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23915192,155372,1614,3.0,1097887531,In & Out (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10052313,65225,7153,4.0,1201382275,"Lord of the Rings: The Return of the King, The (2003)",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
12214125,79161,500,5.0,1488915363,Mrs. Doubtfire (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16246689,105342,3173,3.0,1053097087,Any Given Sunday (1999),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10504501,68169,2417,2.0,1182651366,Heartburn (1986),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3239477,21378,4027,4.0,1090242040,"O Brother, Where Art Thou? (2000)",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20593058,133938,1302,5.0,861734467,Field of Dreams (1989),0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23379732,151798,2122,3.5,1271805403,Children of the Corn (1984),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
22822502,148300,61350,3.0,1507097653,Babylon A.D. (2008),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17981787,116498,2393,5.0,1130123258,Star Trek: Insurrection (1998),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
22825634,148324,1293,3.0,1016911621,Gandhi (1982),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13557587,87735,928,3.0,1018379240,Rebecca (1940),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
13870579,89910,42730,4.5,1542856578,Glory Road (2006),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18702520,121214,2352,4.0,947624047,"Big Chill, The (1983)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23963011,155715,1265,3.5,1166914612,Groundhog Day (1993),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
23831322,154793,164179,4.0,1522191870,Arrival (2016),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7000777,45394,3362,3.5,1237058183,Dog Day Afternoon (1975),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11064746,71952,2617,3.0,1086791430,"Mummy, The (1999)",0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
